	title	link	salary_minimal	salary_maximal	normal_salary	source
151	Junior Product Analyst / Младший аналитик	https://orenburg.hh.ru/vacancy/51191785	40000.0	60000.0	руб.	hh.ru
152	Python Developer	https://orenburg.hh.ru/vacancy/51653035				hh.ru
153	Специалист Computer Vision (Senior Data Scientist)	https://orenburg.hh.ru/vacancy/51251283	250000.0	350000.0	руб.	hh.ru
154	Backend Developer (Python; Django)	https://orenburg.hh.ru/vacancy/50956873	3000.0	4000.0	USD	hh.ru
155	Junior QA Auto with Python	https://orenburg.hh.ru/vacancy/51718292				hh.ru
156	Тестировщик (стажер)	https://orenburg.hh.ru/vacancy/51682641				hh.ru
157	Blockchain Engineer Solidity	https://orenburg.hh.ru/vacancy/51741118	6000.0	14000.0	USD	hh.ru
158	Программист Python (Middle)	https://orenburg.hh.ru/vacancy/50984438	150000.0	200000.0	руб.	hh.ru
159	Python developer	https://orenburg.hh.ru/vacancy/51712789				hh.ru
160	Data Scientist	https://orenburg.hh.ru/vacancy/51774131	1000.0	3000.0	USD	hh.ru
161	Специалист по автоматическому тестированию - QA (Python)	https://orenburg.hh.ru/vacancy/51036578	150000.0	300000.0	руб.	hh.ru
162	Python-разработчик в Цифровые поверхности Салют (Речевая аналитика)	https://orenburg.hh.ru/vacancy/49076234				hh.ru
163	Data Scientist (Computer Vision)	https://orenburg.hh.ru/vacancy/51630792				hh.ru
164	Разработчик Python	https://orenburg.hh.ru/vacancy/47731802				hh.ru
165	Middle Python разработчик (удаленно)	https://orenburg.hh.ru/vacancy/49706622		150000.0	руб.	hh.ru
166	Middle Backend Developer (Python)	https://orenburg.hh.ru/vacancy/51693213	150000.0	200000.0	руб.	hh.ru
167	Data Engineer	https://orenburg.hh.ru/vacancy/51809957		600000.0	KZT	hh.ru
168	Python/C++ разработчик (Бенчмарк инжиниринг)	https://orenburg.hh.ru/vacancy/50687285	100000.0	150000.0	руб.	hh.ru
169	Python Developer	https://orenburg.hh.ru/vacancy/51059486				hh.ru
170	Python-разработчик (Поиск)	https://orenburg.hh.ru/vacancy/51654727				hh.ru
171	Senior Python Developer (remote) / Старший python-разработчик (удаленно)	https://orenburg.hh.ru/vacancy/50918664		220000.0	руб.	hh.ru
172	Senior Python Developer (remote) / Старший python-разработчик (удаленно)	https://orenburg.hh.ru/vacancy/50918678		220000.0	руб.	hh.ru
173	Data Engineer	https://orenburg.hh.ru/vacancy/50717062	200000.0	350000.0	руб.	hh.ru
174	Senior Python Developer (remote) / Старший python-разработчик (удаленно)	https://orenburg.hh.ru/vacancy/50918688		220000.0	руб.	hh.ru
175	Python-разработчик	https://orenburg.hh.ru/vacancy/51728535	120000.0	150000.0	руб.	hh.ru
176	Web-разработчик (Python)	https://orenburg.hh.ru/vacancy/45814971				hh.ru
177	Data Scientist	https://orenburg.hh.ru/vacancy/51774150	1000.0	3000.0	USD	hh.ru
178	Remote Python and C++ Developer	https://orenburg.hh.ru/vacancy/51808421				hh.ru
179	Senior ML Researcher	https://orenburg.hh.ru/vacancy/49383447		420000.0	руб.	hh.ru
180	Python developer	https://orenburg.hh.ru/vacancy/48322827				hh.ru
181	Data Scientist	https://orenburg.hh.ru/vacancy/50638799				hh.ru
182	Python Developer (AI Projects)	https://orenburg.hh.ru/vacancy/50357797				hh.ru
183	Pyth‎on Developer	https://orenburg.hh.ru/vacancy/51410388				hh.ru
184	Python Developer	https://orenburg.hh.ru/vacancy/51653036				hh.ru
185	Python Backend Developer	https://orenburg.hh.ru/vacancy/48486746				hh.ru
186	Python разработчик (Django)	https://orenburg.hh.ru/vacancy/51171210				hh.ru
